seed,accuracy,f1_macro,f1_micro,auc_macro,ap_micro
40,97.32858414959928,0.97327765480583,0.9732858414959928,0.997366027747831,0.9943637339807105
41,96.97239536954586,0.9697376708079855,0.9697239536954586,0.9973856498702568,0.9936118101364633
42,97.32858414959928,0.973327098313815,0.9732858414959928,0.9973643110600229,0.9936621669151536
43,97.15048975957258,0.9713766739369639,0.9715048975957258,0.9975608579313912,0.9943385600048059
44,97.41763134461264,0.9741048003956,0.9741763134461264,0.9969568317273101,0.9934820065973837
mean,97.23953695458593,0.9723647796520389,0.9723953695458591,0.9973267356673624,0.9938916555269035
std,0.17809439002670935,0.00177940469145598,0.001780943900267118,0.00022252461684271933,0.000424668220452243
