seed,accuracy,f1_macro,f1_micro,auc_macro,ap_micro
40,97.77382012466607,0.9776718659884857,0.9777382012466608,0.9979419741275156,0.9965942106279083
41,97.506678539626,0.9750611765589058,0.97506678539626,0.9976608760184901,0.9957888940825208
42,97.46215494211933,0.9745771264810928,0.9746215494211933,0.9968638545194345,0.9942598154363957
43,97.37310774710596,0.9736786837775381,0.9737310774710597,0.997467954896487,0.995320238352281
44,97.37310774710596,0.9736635893609099,0.9737310774710597,0.9976614781284928,0.9958439301706745
mean,97.49777382012466,0.9749304884333865,0.9749777382012468,0.997519227538084,0.995561417733956
std,0.16479746681497703,0.001645383170520455,0.0016479746681497603,0.00040347146079344336,0.0008588591215989212
