seed,accuracy,f1_macro,f1_micro,auc_macro,ap_micro
40,97.89203084832904,0.9775541715501967,0.9789203084832905,0.997887733883445,0.9972365131370529
41,98.56041131105398,0.9845909495866523,0.9856041131105399,0.9989731307865172,0.9985227289534119
42,98.40616966580977,0.983400873851187,0.9840616966580977,0.9989845470316348,0.9985554024368687
43,98.20051413881748,0.9809748225830108,0.9820051413881749,0.9987996330470491,0.9982944742106157
44,97.89203084832904,0.9781114774843459,0.9789203084832905,0.9985120238495471,0.9981045304558795
mean,98.19023136246787,0.9809264590110786,0.9819023136246787,0.9986314137196386,0.9981427298387657
std,0.3006723191200737,0.0031164885179146094,0.0030067231912007247,0.0004574617666519646,0.0005386121652128908
