type,method,dataset,total_samples,valid_samples,removed_samples,mse_mean,mse_std,mae_mean,mae_std,max_absolute_error_worst,relative_error_mean,relative_error_std,relative_error_worst,mae_95_percentile,mae_99_percentile
TYP1,SB,SB,5000.0,4986.0,14.0,5.9533898872023865e-05,1.1203974553748764e-05,0.0046246518495747,0.0006064686265654,0.1344642852916845,0.0076812186097374,0.0007317173443602,0.0105034336391879,0.0055986667767592,0.0059856864331898
TYP1,SR,SR,5000.0,4988.0,12.0,5.813572342015559e-05,1.4031815538312677e-05,0.0045921809687904,0.0007633797928958,0.237093073949266,0.0075828920136733,0.0009463022188234,0.0100015790680427,0.0056192284704675,0.0060652098416937
TYP1,ST,ST,3000.0,2991.0,9.0,4.972410268731789e-05,2.214949903567934e-05,0.0040923593226459,0.0012546446043009,0.1008824147689591,0.0069877166458295,0.0015555091883867,0.009669080459028,0.0055464694347162,0.0060160877479914
TYP2,SB,SB,5000.0,4996.0,4.0,5.642305371300668e-05,1.2734723308915306e-05,0.0043476049535603,0.0007579023412025,0.2020634719423286,0.0074633857278081,0.0008720301047731,0.00994720904113,0.0055279834217125,0.0059550310452081
TYP2,SR,,5000.0,4988.0,12.0,5.813572342015559e-05,1.4031815538312677e-05,0.0045921809687904,0.0007633797928958,0.237093073949266,0.0075828920136733,0.0009463022188234,0.0100015790680427,0.0056192284704675,0.0060652098416937
TYP2,ST,ST,5000.0,4987.0,13.0,5.108762814346494e-05,1.8359622301969156e-05,0.0041888318161379,0.000990036682617,0.3305994091640105,0.0070772868995341,0.0012921438318436,0.0102409989072573,0.0055057242529044,0.0060331038597201
