sample_index,mse,mae,max_absolute_error,relative_error
0,6.995380428426092e-05,0.004497078378376069,0.06157924028988537,0.008363839087659485
1,7.723270543819337e-05,0.005794710598242316,0.06886652300160856,0.008788214007305074
2,5.6083743885326206e-05,0.004664731918118652,0.08354613658615184,0.007488908056941677
3,7.157517043392346e-05,0.004735209388041321,0.06714796976819115,0.008460211015921695
4,7.831485687545617e-05,0.00432670679738262,0.08237309641571322,0.008849568174518792
5,6.160162039816206e-05,0.005121304505062469,0.06365761227935085,0.007848669976382063
6,5.807935463894626e-05,0.00512975029999138,0.06545172930283627,0.0076209812123469705
7,4.246972931036644e-05,0.004011045572583621,0.06787778787131482,0.00651688033574087
8,7.3616397385256186e-06,0.0017603847558199926,0.03090137969429593,0.003837092581245732
9,7.22886811171803e-05,0.005907138587435871,0.06272322169037586,0.008502275055370757
10,5.0608524489252614e-05,0.004366989187975647,0.056395235973436986,0.007113966860286335
11,6.701713579036354e-05,0.004222180681148245,0.0950717756347017,0.008186399439946876
12,4.333284356615773e-05,0.004602706913776261,0.04482570622549176,0.006582768685451247
13,5.383501664017524e-05,0.005210540945172782,0.04793590762878286,0.00733723494513942
14,4.071394605320881e-05,0.0028470084742153907,0.06051915673929442,0.007367853242585532
15,6.571771615416836e-05,0.00485683045188786,0.0697591965638682,0.008106646418474656
16,7.651962149390336e-05,0.006085413813966001,0.04866659240894311,0.008747549456499384
17,6.4801886929811e-05,0.005675371373184555,0.053467973928241985,0.008049961921016195
18,5.5422565667336376e-05,0.00435873372811176,0.06838842487713459,0.007444633346736153
19,6.592428065189113e-05,0.005587081764260751,0.05026743527603081,0.00811937686352167
20,4.287785922117503e-05,0.004251739241096171,0.06024560640605525,0.006548118754358006
21,6.502722498338918e-05,0.004518398600829293,0.06200382738914062,0.008063945993332829
22,5.97730589375713e-05,0.0050318389177229335,0.05561224393341857,0.007731303831668436
23,6.04356243716412e-05,0.004948851121554342,0.06690220351928389,0.007774035269513544
24,6.110443838124674e-05,0.0046892372829872575,0.07273699998416172,0.007816932798818621
25,4.387756122993097e-05,0.004738489231920117,0.036487919166994454,0.006624013981713101
26,4.5828490922123024e-05,0.004082959644020633,0.051263249767950825,0.006769674358647018
27,6.706006737381764e-05,0.005211748696298402,0.06067800968100112,0.008189021148697614
28,4.888816943486311e-05,0.004403412586214978,0.0718350866511207,0.006992007539674329
29,7.705926603016844e-05,0.006617899081772998,0.0535950932580711,0.008778340733314472
30,5.8457918636573284e-05,0.005448795377378673,0.06192176319284126,0.007645777830709753
31,7.114790459696443e-05,0.005593063496213616,0.06474209278428633,0.008434921730340115
32,5.361063086810865e-05,0.004759934597079419,0.05868226563669987,0.007321928084057386
33,6.32667131051634e-05,0.006204388423015691,0.05746136636698118,0.007954037534809772
34,4.778657230868456e-05,0.004201793287735552,0.05748621919232377,0.0069127832534142414
35,6.0159036734113795e-05,0.005521625308579729,0.06898515964306284,0.007756225675811223
36,5.7186644373713795e-05,0.004513073198092441,0.06683906557871921,0.007562185158650471
37,5.821097124925442e-05,0.004588297248520993,0.06676428315959315,0.00762961147433169
