seed,accuracy,f1_macro,f1_micro,auc_macro,ap_micro
40,82.3650385604113,0.8065567709840337,0.8236503856041131,0.9347586640357987,0.9002296984059693
41,82.93059125964011,0.8091841516220099,0.8293059125964011,0.9394419272571272,0.9094654297825017
42,80.97686375321337,0.7954659771529046,0.8097686375321337,0.928070867038266,0.8927564569228036
43,82.77634961439588,0.8114099648020398,0.8277634961439588,0.9375926456254602,0.9062554262814753
44,82.46786632390746,0.8064652972719256,0.8246786632390746,0.933530258939062,0.8969889299483533
mean,82.30334190231363,0.8058164323665828,0.8230334190231362,0.9346788725791428,0.9011391882682206
std,0.7758216765013464,0.006138611165282352,0.007758216765013445,0.0043637191829306405,0.006779088985678897
