seed,accuracy,f1_macro,f1_micro,auc_macro,ap_micro
40,98.30334190231362,0.9823145959945406,0.9830334190231362,0.9990776016386764,0.9986929825294782
41,97.84061696658097,0.9777333552205362,0.9784061696658097,0.9975344633460019,0.9969701300114576
42,98.50899742930591,0.9845710333557447,0.9850899742930591,0.9990700277060748,0.9987138941388776
43,98.3547557840617,0.9825037691010814,0.983547557840617,0.9989946930085662,0.998596577950497
44,98.45758354755783,0.9838204070517782,0.9845758354755784,0.9990862758623246,0.9987578430042037
mean,98.29305912596399,0.9821886321447362,0.98293059125964,0.9987526123123288,0.9983462855269029
std,0.2656660294655812,0.002660037384205719,0.0026566602946558036,0.0006819442658085419,0.000771551158432469
