seed,accuracy,f1_macro,f1_micro,auc_macro,ap_micro
40,97.48071979434447,0.9733203518866405,0.9748071979434447,0.9973220325499556,0.9961400024178871
41,97.12082262210797,0.9698157467836075,0.9712082262210797,0.9968005057876255,0.9955523543248196
42,97.32647814910025,0.9712476737585835,0.9732647814910026,0.997329128473674,0.9964395410830138
43,97.53213367609254,0.9736298716298716,0.9753213367609255,0.9973767755534254,0.9964288215940301
44,97.17223650385604,0.9708711507404103,0.9717223650385605,0.9972490783615608,0.9963353516171969
mean,97.32647814910025,0.9717769589598226,0.9732647814910026,0.9972155041452483,0.9961792142073895
std,0.18177552215592352,0.0016402996406235865,0.0018177552215592346,0.00023644138858592038,0.0003704536736188388
