sample_index,mse,mae,max_absolute_error,relative_error
0,5.685267460928182e-05,0.003516229620896637,0.08749063461998752,0.007540071260225678
1,4.31499280890889e-05,0.0035719206910626174,0.06677175155284498,0.0065688604863468145
2,7.218562394482068e-05,0.005092817393110106,0.071538269639146,0.008496212329315937
3,6.512022285090755e-05,0.005475251781768696,0.06911688877233901,0.008069710208607665
4,6.660876910412296e-05,0.005021515718926357,0.07245856559633923,0.008161419552021727
5,4.2509255679806295e-05,0.0044300611645261105,0.06963186864342319,0.006519912244793351
6,6.630282737147681e-05,0.004680551823319371,0.06444766899860233,0.008142654811023008
7,5.313613903785913e-05,0.004922284275831383,0.06868220380051504,0.007289453960198867
8,5.704413935761008e-05,0.004863627313934244,0.07075536501245949,0.007552757069945344
9,7.837859070497068e-05,0.005462901759846068,0.06534420073131386,0.008853168399221283
10,4.462065286502184e-05,0.003876075344681209,0.05050208755213159,0.006679869225143667
11,6.224838847724459e-05,0.003465560795344381,0.06620513154234486,0.007889764792263715
12,5.35725221066014e-05,0.004401208740846321,0.06160777217768576,0.007319325249406599
13,4.504975761509666e-05,0.004553137518125263,0.05249541303043559,0.0067119116215200655
14,3.665082739568938e-05,0.0033726969697725636,0.052204655618755424,0.006053992682163486
15,6.258906516503657e-05,0.004653610393641851,0.05286731554719237,0.007911325120675786
16,6.419079447443247e-05,0.005051016062157759,0.08230090124913492,0.008011915780537882
17,3.582582116233998e-05,0.003760345918724915,0.06644455447690145,0.005985467497392306
18,6.274278705902822e-05,0.0048310358076694235,0.06046881054039077,0.007921034468996333
19,6.451258295367169e-05,0.005614525115187329,0.049337964953728886,0.008031972544379805
20,6.170881573356154e-05,0.005222097609361603,0.07483044772518177,0.007855495893548732
21,5.82001697329701e-05,0.0032170194759433466,0.08550443750469072,0.007628903573448144
22,5.221771254587694e-05,0.003907873372918834,0.07120827354625839,0.0072261824323688285
23,8.488113192494805e-05,0.005580926482561617,0.07538960595892519,0.009213095675447406
24,7.038340472103553e-05,0.005402208232296787,0.07155557986896932,0.00838948179097106
25,5.3380543774482704e-05,0.0045954125635136065,0.05659566028106222,0.007306198996364813
26,5.6896553939405575e-05,0.003859246238669913,0.08207475181191168,0.007542980441404128
27,6.559686297444234e-05,0.005304339011766475,0.06935727169979167,0.008099189031899542
28,7.743450655726714e-05,0.00508742695455453,0.07796430124341902,0.00879968786703635
29,5.7439017665201384e-05,0.004926329360444192,0.06840108463415362,0.007578853321261795
30,5.057143807897195e-05,0.003418444356451146,0.07352916596401249,0.007111359791134983
31,4.7884281378270914e-05,0.003459995419200425,0.06209924401848543,0.006919846918702065
32,7.517887756152524e-05,0.0034666076483736664,0.09306746296821261,0.008670575388146074
33,8.008559930367989e-05,0.005406592066857147,0.061511478740635006,0.008949055777213534
