sample_index,mse,mae,max_absolute_error,relative_error
0,6.81028442007779e-05,0.004644398842352199,0.06374115198302732,0.008252444740849655
1,2.5793516429363217e-05,0.0028177569736333196,0.05003085456050815,0.005078731773717037
2,7.014840610545096e-05,0.00477950889937625,0.060080283995566974,0.008375464530726073
3,5.67433179866699e-05,0.004233862280956909,0.09518414869615865,0.007532816072802381
4,4.9165619496516213e-05,0.004843396210531493,0.04846495235550119,0.007011819984605693
5,6.57628702679607e-05,0.004407502355638526,0.053702495811715156,0.008109430946001098
6,7.514416302484804e-05,0.004616321554900583,0.052793153473237986,0.008668573298118147
7,5.440523333599728e-05,0.004425807630158319,0.05739135785438032,0.0073759903291691405
8,5.336213236212674e-05,0.0034957688638673967,0.05817404815640659,0.007304938902011877
9,5.51604389384836e-05,0.005104892232764229,0.04095852584601101,0.007427007401267578
10,8.288566275005826e-05,0.004843818945316476,0.07082778013665347,0.009104156344772286
11,5.904311511394307e-05,0.004679236529679272,0.058195517758190984,0.0076839517901885895
12,6.450340238260024e-05,0.004757763272840844,0.06482954670512675,0.008031401022399501
13,7.119047875666432e-05,0.005144832212223285,0.06334985925799863,0.0084374450372529
14,6.054400738007333e-05,0.004485693722570431,0.05851503800904745,0.007781002980340814
15,5.961537312093171e-05,0.0035171802304272194,0.05229214035900352,0.007721099217140738
16,5.5552695242733785e-05,0.004291024844417542,0.04876504951645089,0.007453368046912309
17,5.850586567319066e-05,0.005008050436956522,0.04742092207115434,0.007648912711829713
18,4.325231171362596e-05,0.003691038982442637,0.05639403276194699,0.006576648972966829
19,6.150030120114576e-05,0.0038098765430107837,0.06674723554444917,0.00784221277453918
20,6.752665725814625e-05,0.004802863474713642,0.06543906019941823,0.0082174605115051
21,4.105371536825372e-05,0.0038236238150739146,0.046483136954463114,0.00640731733007297
22,4.1358962688712384e-05,0.004075650363838647,0.04712473239513848,0.0064310934287034
23,6.525096318124796e-05,0.005321365892225839,0.05537729691823268,0.008077806829904216
24,4.824945522586675e-05,0.0037288354185090983,0.06537666757003269,0.006946182780914031
25,5.165980591001117e-05,0.004215810827016704,0.05863222313039218,0.007187475628481161
26,6.937015827722674e-05,0.0046984882624262194,0.06798308735025582,0.008328874970680375
27,6.438055970196582e-05,0.0049735657469756386,0.061694532730205864,0.008023749728273265
28,7.092813048938535e-05,0.0039603693246345216,0.0727685240656156,0.008421884022556038
29,6.97068832739594e-05,0.004339334930401322,0.06413096352462189,0.008349064814334516
