sample_index,mse,mae,max_absolute_error,relative_error
0,7.245238089298671e-05,0.0056575974193712394,0.059042633049156024,0.00851189643340345
1,5.6810162396038884e-05,0.005589472085494049,0.05368141037739527,0.007537251647387031
2,3.956828480777164e-05,0.004370275858507417,0.04201981063751603,0.006290332646829681
3,4.435724490469739e-05,0.0038863613447841098,0.07613417291722158,0.006660123490198741
4,4.397196716712151e-05,0.0036669670546234314,0.0727873207831955,0.006631136189758221
5,5.975021039395753e-05,0.004575246720094175,0.0648768898862846,0.0077298260261119064
6,7.042051672726583e-05,0.005017158313808481,0.059789710759099,0.008391693317040712
7,5.211790481177242e-05,0.0044003999379662595,0.05422327150570916,0.007219273149824153
8,5.1833801969868724e-05,0.0047245468095903145,0.052838854970660876,0.007199569568374799
9,5.577590657265096e-05,0.004270354961282614,0.05574167921680928,0.007468326892460625
10,6.469695939112798e-05,0.004115052664339919,0.061293329669009466,0.00804344201142319
11,4.533664858483361e-05,0.00387512813733265,0.054894239909168974,0.006733249481850001
12,6.908352029121715e-05,0.005653842651962026,0.04677360496036545,0.008311649673272851
13,5.8434039323570675e-05,0.004327876038936555,0.04926395863173372,0.007644216069916532
14,7.27985212304653e-05,0.004682166634832578,0.06356187608351693,0.008532204945409152
15,4.049735483153612e-05,0.00401168914653029,0.04333680904967352,0.00636375320322336
16,6.385976465236789e-05,0.005200570610819125,0.06327130474774378,0.007991230484247549
17,5.7154496605891455e-05,0.0048386359833226845,0.05918951070816769,0.007560059299098839
18,6.39234983925809e-05,0.005286737068695086,0.06313551621328274,0.007995217219849653
19,6.178484985705764e-05,0.004147716670304876,0.05941378969637445,0.007860333953278141
20,5.124545123997703e-05,0.00459506535720476,0.05020702580819525,0.00715859282540757
21,8.268984904028297e-05,0.005560139090199895,0.05685175348662952,0.009093395902537327
22,7.483246398930197e-05,0.0045350334409671195,0.06682874477521317,0.00865057593396539
23,7.69079460242733e-05,0.0054797328270004015,0.06701282511742745,0.008769717556698886
24,7.179156764479013e-05,0.004597145743910775,0.07122334244009387,0.008472990478266204
25,4.752717816675207e-05,0.004081880138270006,0.0609490773019119,0.006893995805536263
26,6.63226406443507e-05,0.005187700858008436,0.06512611323175665,0.008143871354850252
27,4.7991190138125244e-05,0.004529074789801651,0.04365576515674041,0.00692756740408384
28,6.785812658267089e-05,0.005120654221103885,0.06031408271560079,0.008237604420137585
29,5.2849236182427004e-05,0.004618321862047651,0.05278134691127345,0.00726974801368153
30,6.170611981655828e-05,0.004642632390695441,0.06213538676405306,0.00785532429735129
31,5.821397808815753e-05,0.00455139833883359,0.04203383324970822,0.007629808522378336
32,7.675547847175457e-05,0.004323874550737465,0.06541101488528511,0.008761020401286243
33,6.652840181457278e-05,0.004699771692023097,0.0508047756144232,0.008156494456233766
34,4.8902472226671795e-05,0.005061573376933571,0.0396084878377323,0.006993030260671786
35,8.468619091862041e-05,0.0055605925556026494,0.06239406355845745,0.00920251003360604
36,4.590490442000554e-05,0.0037510331029372915,0.052814632828495744,0.006775315816993707
37,4.853997273705605e-05,0.0046265181904738845,0.051865707158039065,0.006967063422781196
38,5.872755108392356e-05,0.005358342170089649,0.061723148188528976,0.007663390312643806
39,5.000104745556707e-05,0.004103156684721289,0.06261119093773226,0.007071141877770987
40,6.396676888852645e-05,0.005166206198400292,0.05372842226657082,0.007997922785856714
41,6.941767776628544e-05,0.0044406090757231655,0.05580782161164022,0.008331727177859623
42,5.980969664804159e-05,0.004867114765057369,0.06086220340223303,0.0077336729080069696
43,8.316612103920043e-05,0.005927725239218588,0.057826515099938636,0.009119546098309929
44,5.919563506687724e-05,0.004929914029704027,0.056462361920947446,0.007693869966855227
45,8.242529021706342e-05,0.005410075701773026,0.05517043508978681,0.009078837492601268
46,7.190780392114762e-05,0.005389036008278985,0.05117254665191728,0.008479846927931385
47,4.345802401919719e-05,0.004454625627151953,0.05490424919133696,0.006592270020197641
48,8.538958016736741e-05,0.0058674970189257205,0.04656809674682923,0.00924064825471498
49,6.229217150767561e-05,0.004772351833910931,0.06839059904795466,0.00789253897726676
50,6.805268741621562e-05,0.004674700598485551,0.05121595509999799,0.008249405276516294
51,4.037684644523336e-05,0.003643362709208668,0.051522045766935864,0.006354277806740366
52,7.539024039713503e-05,0.006650952905723943,0.042270506454544554,0.008682755345921844
53,5.674900780517162e-05,0.005425463521901936,0.044039128060072485,0.007533193732088078
54,3.9319702475566866e-05,0.003909707351446853,0.05869818654352521,0.006270542438702305
55,5.710969762689684e-05,0.004476794459946549,0.04535569056677924,0.007557095846083746
56,5.6586483081188025e-05,0.004467469921360257,0.06823878739981337,0.0075223987584538245
57,4.273866548066575e-05,0.003866979964748705,0.058703674966655406,0.0065374815854934085
58,6.914333441159578e-05,0.004894830143726696,0.06292701483143581,0.008315247104662343
59,6.629583667260274e-05,0.004576284999152275,0.05768426760565282,0.00814222553560156
60,7.228877945401206e-05,0.0049711367061937815,0.04786814621738267,0.00850228083834046
61,5.21604806011223e-05,0.0049333451387057765,0.05467639335909791,0.0072222213065733405
62,7.29464178391977e-05,0.005011707789560184,0.06795789855595968,0.00854086751092636
63,4.82357017897628e-05,0.003763311121864109,0.053974987986554535,0.00694519271077215
64,5.3223441718154324e-05,0.004570917794606159,0.0516086099167552,0.007295439789221334
65,4.73669610072238e-05,0.004436366458612382,0.046255159712096316,0.0068823659454597015
66,5.300330278830557e-05,0.004830243601998517,0.05642891932218874,0.007280336722178823
67,6.550921903858489e-05,0.004248429812439977,0.061295494648194504,0.008093776562185575
68,7.255052595919735e-05,0.005272020840949442,0.05087471551503886,0.008517659652697839
69,6.354042778881161e-05,0.00392928656405639,0.07201117463862405,0.007971224986713838
70,4.282535558426857e-05,0.004482137659978167,0.06395700102979163,0.006544108463669294
71,8.44591428845311e-05,0.0050909687250571345,0.05833564828882354,0.009190165552618217
72,7.367957154324791e-06,0.0016053133268012097,0.028754107307338257,0.003838738635105209
73,7.638142778345249e-05,0.004694511649198923,0.05623887350822837,0.008739646891233757
74,7.005612809767629e-05,0.004314471690078937,0.0637012209558172,0.008369953888623034
75,7.509767781723188e-05,0.005206623868684001,0.048104372023948905,0.008665891634288474
76,4.802510307648928e-05,0.004684422728088617,0.04602299358314532,0.006930014651967824
77,6.0632295408989694e-05,0.0046028937977198245,0.05732882481465126,0.007786674220037008
78,5.869530446540665e-05,0.004576488226427546,0.051373394626491375,0.0076612860842945945
79,7.234985518475164e-05,0.005043267360337496,0.05946241275963171,0.008505871806273064
80,7.346950334775102e-05,0.0059717169902242274,0.049640669452481134,0.008571435314330394
81,6.359436606555951e-05,0.005434928143317074,0.04749594539785343,0.007974607580662455
82,6.222206287695184e-05,0.004642316972837297,0.06312140330122418,0.007888096277109657
83,4.7126524747327834e-05,0.004570160260927791,0.046780399239649384,0.006864876164019822
84,4.3643560934610225e-05,0.003920445061723765,0.05959556580293368,0.006606327340861187
85,6.010142577174642e-05,0.004853985706329945,0.060145949287819855,0.007752510933352226
86,7.497118610915467e-05,0.005203292208395265,0.0764118489302339,0.008658590307270224
87,6.204506773513519e-05,0.004496391892184781,0.05184274416917978,0.007876869158182987
88,6.320827017731644e-05,0.0052765091456598535,0.05962507659863536,0.00795036289595109
89,4.847402498237633e-05,0.0040896159935232415,0.059196704338285056,0.006962328991248264
90,9.00147549362957e-05,0.006504432541900221,0.05498207530596125,0.009487610602058617
91,5.8601851923129864e-05,0.005178333842837695,0.05075775447697706,0.007655184643307395
92,7.392559827801186e-05,0.005604930217843802,0.05617233839945579,0.008597999667248836
93,5.0881394928500834e-05,0.0043689364505766996,0.061054874483991384,0.007133119579013129
94,6.031832206355709e-05,0.004717605476466676,0.05555053522125941,0.007766487112173482
95,6.505673403411697e-05,0.005406341147944892,0.04880299339547256,0.008065775476302103
96,5.7599028479363834e-05,0.004969347151077686,0.05323352973629536,0.007589402379592436
97,6.158667610380853e-05,0.004451985133712363,0.058333437153652135,0.00784771789145149
98,5.8855427082587026e-05,0.004069751863536804,0.06628376319865407,0.007671729080369466
99,5.584439898508249e-05,0.003762635871285597,0.05997577977494384,0.0074729110114521045
100,4.840577442402956e-05,0.003926249280811102,0.04682305585271873,0.006957425847540831
101,5.205601982961458e-05,0.004571702304231569,0.05653716757889504,0.007214985781664018
102,5.397845401437634e-05,0.0037092107100150525,0.06110406814926188,0.007347003063452193
103,5.0984522532200226e-05,0.004047166956532827,0.06295132036811824,0.007140344706819134
104,5.580439469265579e-05,0.005009691374690256,0.0535747553544339,0.007470233911508733
105,5.427479430176756e-05,0.004656186418264575,0.05596005856135572,0.007367142885933947
106,5.7959085534788445e-05,0.0049607828286581815,0.052901338239437656,0.007613086465736995
107,5.990390032191448e-05,0.0052539710509246365,0.046693126707144095,0.007739760999017592
108,3.862529058354365e-05,0.0038155420447026104,0.05223864518330634,0.006214924825252784
109,5.5032250201511755e-05,0.004453367951088911,0.049930116516291534,0.0074183724765956305
110,4.7338721486332544e-05,0.004057870157106845,0.053983212988338636,0.006880314054338824
111,5.374385497412012e-05,0.00482617159146798,0.05811340778513863,0.0073310200500421255
112,5.532595760380827e-05,0.005331622475000629,0.04284235864789343,0.007438142080103591
113,6.65035358564578e-05,0.004722809399916461,0.06913478928228134,0.00815497000953759
114,5.951538165913794e-05,0.004820584461185738,0.05851088701841611,0.007714621290713993
115,4.82788185972057e-05,0.004355655464759708,0.06322160198630278,0.006948296093086792
116,5.53638322450139e-05,0.004618240484438671,0.05551768086201481,0.0074406876190990295
117,5.279099721216858e-05,0.004943900991300978,0.049691082303843004,0.007265741339475843
118,6.281096352105083e-05,0.005803546853860395,0.035141669886822546,0.007925336808051145
119,4.9614452119400955e-05,0.004997101645229694,0.04796957975381333,0.007043752701465363
120,6.347722396401567e-05,0.005363013996176068,0.04067020699570323,0.00796725950148576
121,5.087811670128942e-05,0.004797888225422569,0.051473666259034045,0.0071328897861448175
122,6.905731894099152e-05,0.00420077694766884,0.06137599097966007,0.008310073341492905
123,6.270745125188028e-05,0.004029989011033468,0.06555534731798274,0.00791880365029213
124,4.3338055558094825e-05,0.004166411433395934,0.04219039129518931,0.006583164554991364
125,5.119241063783783e-05,0.004224863368665137,0.05583677961813782,0.007154887185542306
126,6.601208688901514e-05,0.005461224591587549,0.062095395332993686,0.008124782267175829
127,6.438849170264925e-05,0.004750120520005341,0.05912118791193133,0.008024243995707562
128,6.049221052391635e-05,0.005153530468046473,0.0568391362020515,0.007777673850446302
129,5.1633583047498294e-05,0.004761827988439409,0.06302427416583711,0.007185651191610809
130,5.1015400423780056e-05,0.00460701302780829,0.06046264998125883,0.007142506592491152
131,6.0968754934828934e-05,0.004659582252370501,0.06460658625561821,0.007808249159371658
132,6.293904401349889e-05,0.005372874763946847,0.059404825330781286,0.007933413137704225
133,8.286705368097295e-05,0.003925303895877072,0.0817868440450793,0.009103134277872217
134,5.812790806269861e-05,0.0047841530781771386,0.05290213742004157,0.007624166056868004
135,7.242998967476824e-05,0.005864173607595046,0.06073368620209496,0.00851058104213615
136,6.305929120333638e-05,0.003769104658415328,0.05932964968809884,0.007940988049565096
137,7.03751558729287e-05,0.0052356544722247335,0.06314979268938226,0.008388990158113676
138,7.354758106254661e-05,0.005322847998556136,0.06529551966961389,0.008575988634702478
139,4.8652757527455946e-05,0.004795862433283037,0.062340872237204525,0.006975152867676519
140,6.387384305593832e-05,0.004971640166447992,0.06501040010604392,0.007992111301523377
141,4.387292975042502e-05,0.004090319772223885,0.07258616348217894,0.006623664374832469
142,6.441607484788507e-05,0.0045021594947449416,0.060782942632488624,0.008025962549618843
143,7.943725805583137e-05,0.004855078713340219,0.06105146961918484,0.008912758162086002
