sample_index,mse,mae,max_absolute_error,relative_error
0,5.246561505148802e-05,0.004927007560586609,0.05650945548275921,0.00724331519757959
1,5.508504718174382e-05,0.004497918465875321,0.06862529805245376,0.007421930152038852
2,4.743223351003194e-05,0.004229430217795337,0.0655998830256952,0.006887106323415617
3,4.9970821718593625e-05,0.0036237080596799014,0.07912430441625395,0.007069004294707515
4,5.2916701526556585e-05,0.004568367941344417,0.06328216331781653,0.0072743866770028165
5,5.103633039118101e-05,0.004446456810907904,0.06778062565979859,0.007143971611868332
6,4.9292592186197325e-05,0.003199236032345829,0.08211713316124847,0.007020868335626075
7,4.5431631987264495e-05,0.003366281507020456,0.059320943630734854,0.006740299102210842
8,6.30109177233911e-05,0.0050513696500329745,0.07126743529988577,0.00793794165532793
9,4.4139736914318994e-05,0.0027469652200300763,0.09012270216313745,0.006643774297364289
10,5.627189383464989e-05,0.003922061245921222,0.07045464597912243,0.0075014594469775915
11,5.817753940162517e-05,0.0045815882850332185,0.06262983522104015,0.007627420232399945
12,4.611653987711475e-05,0.0032106137609194756,0.07476608554858188,0.006790915982186381
13,6.86124533813344e-05,0.005353328035800207,0.061920789208667504,0.00828326344995338
14,6.747898817092549e-05,0.004386290193496484,0.07054649793362722,0.008214559523853056
15,6.823012085333273e-05,0.00478154740672224,0.08654834489198127,0.008260152592617894
16,7.240497223277887e-05,0.005380391588081872,0.06536854414873994,0.008509111130592788
17,5.5602814606043055e-05,0.004500871334547628,0.062188087595746566,0.007456729484569115
18,5.920723329679235e-05,0.004611847514281852,0.0762386958562482,0.007694623661803865
19,6.34803546469666e-05,0.005154274615230513,0.08159650524679574,0.00796745597082068
20,4.8056909116630184e-05,0.004402808168458002,0.07619291058925448,0.006932309075382444
21,4.642130490467868e-05,0.004492295916155895,0.06496991527071794,0.006813318200750511
22,4.840501824273778e-05,0.004570779352776108,0.0600142401995476,0.006957371503861011
23,7.683902361323569e-05,0.005174705825517508,0.07991403448119794,0.008765787107455604
24,4.0763988652681724e-05,0.004006648382036427,0.07814023447762186,0.006384668249226524
25,5.8976143077495516e-05,0.004448989883611844,0.07568871002280941,0.007679592637470776
26,7.112384520858955e-05,0.0057942588289465,0.05817498548667466,0.008433495432416428
27,4.333958940667159e-05,0.004365587185233649,0.06658325167008528,0.006583281051775864
28,3.277427337788489e-05,0.003283481660748319,0.082056615919198,0.005724881953183352
29,5.4547350103824707e-05,0.004084989092539689,0.07824412142260517,0.007385617787553311
