seed,accuracy,f1_macro,f1_micro,auc_macro,ap_micro
40,97.55120213713268,0.975470860086899,0.9755120213713268,0.9973936339758221,0.9941827460364391
41,97.55120213713268,0.9754951390075964,0.9755120213713268,0.9972285308912577,0.9940155035889173
42,97.28406055209261,0.9727985818641987,0.9728406055209261,0.9972403704047464,0.9939797889935502
43,97.06144256455921,0.9706464363596785,0.9706144256455922,0.9966551127389499,0.9919059919020664
44,97.23953695458593,0.9723301166880169,0.9723953695458593,0.9973624809312,0.994456280901264
mean,97.33748886910061,0.9733482268012779,0.9733748886910062,0.9971760257883953,0.9937080622844473
std,0.2121305298231793,0.002106723370352939,0.0021213052982317774,0.0003001525712350155,0.0010248132739851545
