seed,accuracy,f1_macro,f1_micro,auc_macro,ap_micro
40,98.08548530721282,0.9808454831990718,0.9808548530721283,0.9985989193751701,0.9975173192910446
41,97.59572573463936,0.9759766289586457,0.9759572573463936,0.9981777692102046,0.9965486903821935
42,97.81834372217276,0.978174597557353,0.9781834372217275,0.9983387836584647,0.9966435550764837
43,97.81834372217276,0.978153327432009,0.9781834372217275,0.9981824785989163,0.9966465074318382
44,97.59572573463936,0.9759857501622381,0.9759572573463936,0.9983700386413416,0.996898591067776
mean,97.7827248441674,0.9778271574618635,0.9778272484416741,0.9983335978968194,0.9968509326498672
std,0.20257013652853612,0.0020095166277993345,0.0020257013652853757,0.0001723875928178868,0.00039448954245150525
